Contestant,Points
Sweden,8322
Netherlands,6441
Spain,6335
Serbia,5715
United Kingdom,5164
France,5038
Portugal,4976
Greece,4759
Ukraine,4744
Lithuania,4530
Czech Republic,3728
Austria,3017
Cyprus,2867
Italy,2860
Poland,2678
Ireland,2316
Slovenia,2272
Iceland,2264
Albania,1878
Norway,1845
Moldova,1813
Australia,1796
Estonia,1791
Armenia,1518
Romania,1336
Latvia,1335
Finland,1117
Montenegro,932
Georgia,857
San Marino,828
Denmark,694
Azerbaijan,684
Belgium,634
Croatia,584
North Macedonia,482
Malta,436
Germany,431
Switzerland,328
Israel,292
Bulgaria,239
