Contestant,Points
Ukraine,8457
Italy,8168
Switzerland,7350
France,7155
Russia,4745
Iceland,4235
San Marino,4197
Bulgaria,4060
Finland,3918
Malta,3916
Cyprus,3423
Lithuania,3146
Belgium,2850
Serbia,2707
Romania,2536
Azerbaijan,2179
Greece,2016
Croatia,1953
Israel,1507
Denmark,1441
Australia,1348
Norway,1320
Albania,1290
Ireland,1278
Moldova,1075
Portugal,1063
Czech Republic,965
Sweden,780
Netherlands,737
Latvia,571
Germany,567
United Kingdom,456
Spain,411
Slovenia,390
Austria,340
Poland,322
Georgia,300
Estonia,287
North Macedonia,153
